Method,Epsilon,Dataset,Class,Baseline Accuracy,Method Accuracy,Accuracy Drop
untargeted_fgsm,epsilon_0.06,training,Hydrant,0.99666,0.98998,0.006680000000000019
untargeted_fgsm,epsilon_0.06,training,Car,0.87785,0.90411,-0.02625999999999995
untargeted_fgsm,epsilon_0.06,training,Bridge,0.92484,0.92484,0.0
untargeted_fgsm,epsilon_0.06,training,Other,0.7448,0.75627,-0.01146999999999998
untargeted_fgsm,epsilon_0.06,training,Motorcycle,0.51852,0.66667,-0.14815
untargeted_fgsm,epsilon_0.06,training,Bus,0.94372,0.98701,-0.04329000000000005
untargeted_fgsm,epsilon_0.06,training,Chimney,0.61538,0.97436,-0.35897999999999997
untargeted_fgsm,epsilon_0.06,training,Bicycle,0.91873,0.77961,0.13912000000000002
untargeted_fgsm,epsilon_0.06,training,Mountain,0.09091,0.0,0.09091
untargeted_fgsm,epsilon_0.06,training,Crosswalk,0.9317,0.82715,0.10454999999999992
untargeted_fgsm,epsilon_0.06,training,Traffic Light,0.8806,0.97151,-0.09090999999999994
untargeted_fgsm,epsilon_0.06,training,Palm,0.89044,0.99301,-0.10256999999999994
untargeted_fgsm,epsilon_0.06,evaluation,Hydrant,1.0,1.0,0.0
untargeted_fgsm,epsilon_0.06,evaluation,Car,0.78378,0.89189,-0.10810999999999993
untargeted_fgsm,epsilon_0.06,evaluation,Bridge,0.83784,0.94595,-0.10810999999999993
untargeted_fgsm,epsilon_0.06,evaluation,Other,0.64865,0.7027,-0.05405000000000004
untargeted_fgsm,epsilon_0.06,evaluation,Motorcycle,0.68919,0.82432,-0.13513000000000008
untargeted_fgsm,epsilon_0.06,evaluation,Bus,0.97297,1.0,-0.02703
untargeted_fgsm,epsilon_0.06,evaluation,Chimney,0.64706,0.82353,-0.17647000000000002
untargeted_fgsm,epsilon_0.06,evaluation,Bicycle,0.89189,0.7973,0.09458999999999995
untargeted_fgsm,epsilon_0.06,evaluation,Mountain,0.0,0.0,0.0
untargeted_fgsm,epsilon_0.06,evaluation,Crosswalk,0.89189,0.78378,0.10810999999999993
untargeted_fgsm,epsilon_0.06,evaluation,Traffic Light,0.86486,0.95946,-0.09460000000000002
untargeted_fgsm,epsilon_0.06,evaluation,Palm,0.78378,0.98649,-0.20270999999999995
untargeted_fgsm,epsilon_0.08,training,Hydrant,0.99666,0.92817,0.06848999999999994
untargeted_fgsm,epsilon_0.08,training,Car,0.87785,0.71047,0.16737999999999997
untargeted_fgsm,epsilon_0.08,training,Bridge,0.92484,0.66493,0.25991
untargeted_fgsm,epsilon_0.08,training,Other,0.7448,0.53871,0.20609
untargeted_fgsm,epsilon_0.08,training,Motorcycle,0.51852,0.38889,0.12962999999999997
untargeted_fgsm,epsilon_0.08,training,Bus,0.94372,0.95065,-0.006929999999999992
untargeted_fgsm,epsilon_0.08,training,Chimney,0.61538,0.9359,-0.3205199999999999
untargeted_fgsm,epsilon_0.08,training,Bicycle,0.91873,0.41185,0.50688
untargeted_fgsm,epsilon_0.08,training,Mountain,0.09091,0.0,0.09091
untargeted_fgsm,epsilon_0.08,training,Crosswalk,0.9317,0.58347,0.34822999999999993
untargeted_fgsm,epsilon_0.08,training,Traffic Light,0.8806,0.92605,-0.04544999999999999
untargeted_fgsm,epsilon_0.08,training,Palm,0.89044,0.98951,-0.09906999999999999
untargeted_fgsm,epsilon_0.08,evaluation,Hydrant,1.0,0.93243,0.06757000000000002
untargeted_fgsm,epsilon_0.08,evaluation,Car,0.78378,0.59459,0.18919000000000008
untargeted_fgsm,epsilon_0.08,evaluation,Bridge,0.83784,0.72297,0.11487000000000003
untargeted_fgsm,epsilon_0.08,evaluation,Other,0.64865,0.54054,0.10810999999999993
untargeted_fgsm,epsilon_0.08,evaluation,Motorcycle,0.68919,0.56081,0.12837999999999994
untargeted_fgsm,epsilon_0.08,evaluation,Bus,0.97297,0.96622,0.006750000000000034
untargeted_fgsm,epsilon_0.08,evaluation,Chimney,0.64706,0.61765,0.029409999999999936
untargeted_fgsm,epsilon_0.08,evaluation,Bicycle,0.89189,0.39865,0.49323999999999996
untargeted_fgsm,epsilon_0.08,evaluation,Mountain,0.0,0.0,0.0
untargeted_fgsm,epsilon_0.08,evaluation,Crosswalk,0.89189,0.47973,0.41215999999999997
untargeted_fgsm,epsilon_0.08,evaluation,Traffic Light,0.86486,0.93919,-0.07433000000000001
untargeted_fgsm,epsilon_0.08,evaluation,Palm,0.78378,0.98649,-0.20270999999999995
